=== KSP CRIME DATABASE LOOKUP ===
=== CrimeSubHead (76 records) ===

  ROWID: 47995000000334138, CrimeSubHeadID: 1, CrimeHeadID: 47995000000334113, CrimeHeadName: Murder with Deadly Weapon, SeqID: 1
  ROWID: 47995000000334174, CrimeSubHeadID: 37, CrimeHeadID: 47995000000334122, CrimeHeadName: Rioting causing Hurt, SeqID: 2
  ROWID: 47995000000334175, CrimeSubHeadID: 38, CrimeHeadID: 47995000000334122, CrimeHeadName: Rioting with Destruction of Property, SeqID: 3
  ROWID: 47995000000334176, CrimeSubHeadID: 39, CrimeHeadID: 47995000000334122, CrimeHeadName: Unlawful Assembly, SeqID: 4
  ROWID: 47995000000334177, CrimeSubHeadID: 40, CrimeHeadID: 47995000000334123, CrimeHeadName: Cheating by Impersonation, SeqID: 1
  ROWID: 47995000000334178, CrimeSubHeadID: 41, CrimeHeadID: 47995000000334123, CrimeHeadName: Cheating by False Pretence, SeqID: 2
  ROWID: 47995000000334179, CrimeSubHeadID: 42, CrimeHeadID: 47995000000334123, CrimeHeadName: Cheating by Ponzi Scheme, SeqID: 3
  ROWID: 47995000000334180, CrimeSubHeadID: 43, CrimeHeadID: 47995000000334123, CrimeHeadName: Online Fraud, SeqID: 4
  ROWID: 47995000000334181, CrimeSubHeadID: 44, CrimeHeadID: 47995000000334124, CrimeHeadName: Criminal Breach of Trust by Public Servant, SeqID: 1
  ROWID: 47995000000334182, CrimeSubHeadID: 45, CrimeHeadID: 47995000000334124, CrimeHeadName: Criminal Breach of Trust by Agent, SeqID: 2
  ROWID: 47995000000334183, CrimeSubHeadID: 46, CrimeHeadID: 47995000000334124, CrimeHeadName: Criminal Breach of Trust by Bailee, SeqID: 3
  ROWID: 47995000000334184, CrimeSubHeadID: 47, CrimeHeadID: 47995000000334125, CrimeHeadName: Counterfeiting of Currency, SeqID: 1
  ROWID: 47995000000334185, CrimeSubHeadID: 48, CrimeHeadID: 47995000000334125, CrimeHeadName: Counterfeiting of Stamps, SeqID: 2
  ROWID: 47995000000334186, CrimeSubHeadID: 49, CrimeHeadID: 47995000000334125, CrimeHeadName: Counterfeiting of Documents, SeqID: 3
  ROWID: 47995000000334187, CrimeSubHeadID: 50, CrimeHeadID: 47995000000334125, CrimeHeadName: Possession of Counterfeit Instrument, SeqID: 4
  ROWID: 47995000000334188, CrimeSubHeadID: 51, CrimeHeadID: 47995000000334126, CrimeHeadName: Mischief by Fire, SeqID: 1
  ROWID: 47995000000334189, CrimeSubHeadID: 52, CrimeHeadID: 47995000000334126, CrimeHeadName: Mischief by Explosive, SeqID: 2
  ROWID: 47995000000334190, CrimeSubHeadID: 53, CrimeHeadID: 47995000000334126, CrimeHeadName: Arson of Dwelling House, SeqID: 3
  ROWID: 47995000000334191, CrimeSubHeadID: 54, CrimeHeadID: 47995000000334126, CrimeHeadName: Arson of Public Building, SeqID: 4
  ROWID: 47995000000334192, CrimeSubHeadID: 55, CrimeHeadID: 47995000000334127, CrimeHeadName: Grievous Hurt by Weapon, SeqID: 1
  ROWID: 47995000000334193, CrimeSubHeadID: 56, CrimeHeadID: 47995000000334127, CrimeHeadName: Grievous Hurt by Poison, SeqID: 2
  ROWID: 47995000000334194, CrimeSubHeadID: 57, CrimeHeadID: 47995000000334127, CrimeHeadName: Simple Hurt, SeqID: 3
  ROWID: 47995000000334195, CrimeSubHeadID: 58, CrimeHeadID: 47995000000334127, CrimeHeadName: Hurt by Rash Driving, SeqID: 4
  ROWID: 47995000000334196, CrimeSubHeadID: 59, CrimeHeadID: 47995000000334128, CrimeHeadName: Extortion by Threat, SeqID: 1
  ROWID: 47995000000334197, CrimeSubHeadID: 60, CrimeHeadID: 47995000000334128, CrimeHeadName: Extortion by Public Servant, SeqID: 2
  ROWID: 47995000000334198, CrimeSubHeadID: 61, CrimeHeadID: 47995000000334128, CrimeHeadName: Extortion by Intimidation, SeqID: 3
  ROWID: 47995000000334199, CrimeSubHeadID: 62, CrimeHeadID: 47995000000334129, CrimeHeadName: House Trespass, SeqID: 1
  ROWID: 47995000000334200, CrimeSubHeadID: 63, CrimeHeadID: 47995000000334129, CrimeHeadName: House Trespass by Night, SeqID: 2
  ROWID: 47995000000334201, CrimeSubHeadID: 64, CrimeHeadID: 47995000000334129, CrimeHeadName: Lurking House Trespass, SeqID: 3
  ROWID: 47995000000334202, CrimeSubHeadID: 65, CrimeHeadID: 47995000000334129, CrimeHeadName: Criminal Trespass by Public Servant, SeqID: 4
  ROWID: 47995000000334203, CrimeSubHeadID: 66, CrimeHeadID: 47995000000334130, CrimeHeadName: Assault with Intent to Outrage Modesty, SeqID: 1
  ROWID: 47995000000334204, CrimeSubHeadID: 67, CrimeHeadID: 47995000000334130, CrimeHeadName: Sexual Harassment, SeqID: 2
  ROWID: 47995000000334205, CrimeSubHeadID: 68, CrimeHeadID: 47995000000334130, CrimeHeadName: Voyeurism, SeqID: 3
  ROWID: 47995000000334206, CrimeSubHeadID: 69, CrimeHeadID: 47995000000334130, CrimeHeadName: Stalking, SeqID: 4
  ROWID: 47995000000334207, CrimeSubHeadID: 70, CrimeHeadID: 47995000000334131, CrimeHeadName: Dowry Death by Burning, SeqID: 1
  ROWID: 47995000000334208, CrimeSubHeadID: 71, CrimeHeadID: 47995000000334131, CrimeHeadName: Dowry Death by Poison, SeqID: 2
  ROWID: 47995000000334209, CrimeSubHeadID: 72, CrimeHeadID: 47995000000334131, CrimeHeadName: Dowry Death by Harassment, SeqID: 3
  ROWID: 47995000000334210, CrimeSubHeadID: 73, CrimeHeadID: 47995000000334132, CrimeHeadName: Hacking, SeqID: 1
  ROWID: 47995000000334211, CrimeSubHeadID: 74, CrimeHeadID: 47995000000334132, CrimeHeadName: Identity Theft, SeqID: 2
  ROWID: 47995000000334212, CrimeSubHeadID: 75, CrimeHeadID: 47995000000334132, CrimeHeadName: Cyber Stalking, SeqID: 3
  ROWID: 47995000000334213, CrimeSubHeadID: 76, CrimeHeadID: 47995000000334132, CrimeHeadName: Data Theft, SeqID: 4
